event,x_mm,y_mm,z_mm,edep_MeV,photons_prod,photons_shifted,photons_detected
66,-3.4562,-63.7515,100,0,0,0,0
132,-69.4044,-21.7492,100,2.07864,20787,0,63
110,-48.6234,-63.2501,100,2.31992,23200,0,59
67,26.9914,-76.1836,100,0,0,0,0
154,-55.3691,56.9614,100,3.02553,30255,0,66
22,57.8141,33.3284,100,2.55096,25510,0,67
111,-2.28483,-54.5482,100,2.94398,29440,0,81
23,-9.35703,66.9389,100,2.61126,26110,0,69
112,22.4473,75.9794,100,0,0,0,0
88,-46.0421,22.1528,100,2.3705,23703,0,65
133,29.6266,61.2309,100,3.54705,35471,0,80
155,53.38,68.865,100,2.99707,29969,0,84
0,-55.4533,36.5944,100,3.45345,34536,0,58
68,-27.4433,-66.4251,100,2.91068,29107,0,97
113,-26.6545,-1.10426,100,2.96191,29620,0,75
44,-6.16905,-74.3602,100,2.19743,21975,0,62
69,-48.6172,54.1196,100,0,0,0,0
156,33.041,17.7397,100,2.85613,28561,0,96
24,7.48499,-51.7613,100,3.7394,37392,0,89
134,-3.58072,-27.2541,100,4.99018,49900,0,122
25,-47.3811,-18.813,100,3.12406,31241,0,77
135,-14.2322,78.5927,100,2.62576,26259,0,68
114,10.441,-64.4829,100,5.26421,52642,0,132
89,4.05994,28.2358,100,5.14271,51424,0,128
157,64.3537,-36.2162,100,5.091,50910,0,117
45,30.5439,49.0068,100,2.80881,28089,0,59
70,-74.4759,76.2569,100,2.78037,27805,0,70
90,10.2724,-79.5641,100,0,0,0,0
1,-7.01294,0.249627,100,3.33785,33379,0,84
26,18.1434,-55.7061,100,2.62667,26267,0,79
115,-72.9661,30.8723,100,2.64135,26413,0,75
136,18.3366,25.9665,100,2.59985,26000,0,79
158,-46.9394,16.7817,100,2.68472,26848,0,87
159,-15.7109,-1.63825,100,0.286667,2867,0,0
27,22.0108,-5.1334,100,4.08876,40887,0,70
137,-7.17071,-57.2681,100,2.34616,23462,0,67
160,47.1615,73.331,100,2.95544,29555,0,74
71,15.6006,65.3239,100,2.23433,22343,0,81
91,64.0889,35.3458,100,2.19719,21972,0,56
2,17.0456,-71.2065,100,2.74367,27436,0,72116,38.1529,44.4805,100,6.10732,61071,0,151
138,43.8566,62.1022,100,2.39504,23949,0,72
28,77.6185,71.4682,100,3.07059,30706,0,92
46,-58.3656,-48.5361,100,4.34438,43443,0,91
161,15.7448,-22.0064,100,2.56994,25700,0,70
139,45.7262,69.7193,100,2.65839,26584,0,85
47,1.93964,9.85525,100,0,0,0,0
140,-33.6845,-48.1419,100,0.20594,2059,0,8
72,42.7138,5.82649,100,3.17419,31742,0,63
162,-52.6636,-59.4476,100,2.21435,22144,35,66
29,-65.6552,71.4195,100,3.94168,39417,0,91
117,-59.6329,72.1957,100,7.30212,73022,0,152
163,49.5231,-28.1361,100,0,0,0,0
141,-15.7628,29.0902,100,2.4181,24181,0,71
3,49.9941,67.4821,100,2.35089,23509,0,74
92,-67.5199,-51.6433,100,3.1167,31165,0,61
73,-33.9441,0.753119,100,0,0,0,0
30,11.8196,60.4913,100,2.2453,22453,0,70
118,-27.6264,41.5104,100,2.72462,27247,0,65
142,-51.6751,0.353296,100,2.72512,27250,0,76
119,-37.7915,-55.3386,100,0,0,0,0
164,66.7626,-21.7215,100,3.05774,30579,0,89
48,-39.8329,61.6564,100,2.54589,25459,0,77
93,70.5543,-62.5515,100,0.885494,8855,0,23
120,-36.058,66.9249,100,0,0,0,0
165,-41.4863,-65.1272,100,0,0,0,0
31,32.2054,-20.3863,100,2.33988,23399,0,65
32,55.3949,-20.7206,100,0,0,0,0
143,-6.58217,-69.989,100,2.57152,25715,0,69
121,13.8605,57.3501,100,2.38784,23878,0,77
166,68.8881,67.4726,100,2.3252,23252,0,85
33,-46.9536,3.95082,100,167,2.51409,25140,0,5527.9331,22.5932,100,0,0,0,0
4,27.6288,8.93607,100,2.65513,26550,0,76
74,-59.9343,9.27772,100,2.38646,23865,0,76
144,-13.8589,26.0686,100,2.5606,25607,0,77
49,-59.495,71.9174,100,2.42089,24209,0,57
122,-24.6918,-9.58545,100,2.94808,29481,0,71
123,-73.6121,35.5147,100,0,0,0,0
124,-71.9547,0.919313,100,0,0,0,0
94,-11.7488,33.1708,100,3.12048,31206,0,52
34,168,-74.8609,100-6.07022,3.08156,14.86,1,0,80
100,3.01903,30190,0,90
145,-43.9869,-50.01,100,2.81623,28162,0,85
169,-41.2275,-77.9053,100,2.2086,22086,0,73
35,-50.0782,54.9636,100,2.22093,22209,0,79
5,-59.1487,-3.48984,100,2.40264,24026,0,59
146,-15.6382,60.2603,100,2.18803,21880,0,71
125,-6.67032,-59.581,100,5.10111,51011,0,123
126,72.6323,-58.2345,100,0,0,0,0
170,69.2611,66.4925,100,2.63719,26372,0,65
36,25.8795,-75.7738,100,2.43826,24382,0,68
75,-40.1356,4.73394,100,3.1168,31167,0,62
95,-75.6208,20.1033,100,3.03095,30308,0,69
127,19.3811,-14.1745,100,2.4386,24386,0,60
50,67.8506,45.2607,100,3.45024,34503,0,66
147,-15.0554,-59.4471,100,3.64596,36458,0,82
148,-3.50816,27.0395,100,0,0,0,0
37,2.52928,67.3861,100,2.74882,27488,0,71
6,57.9283,38.2848,100,2.61546,26154,0,54
0,0,0,0
132,-69.4044,-21.7492,100,2.07864,20787,0,63
110,-48.6234,-63.2501,100,2.31992,23200,0,59
67,26.9914,-76.1836,100,0,0,0,0
154,-55.3691,56.9614,100,3.02553,30255,0,66
22,57.8141,33.3284,100,2.55096,25510,0,67
111,-2.28483,-54.5482,100,2.94398,29440,0,81
23,-9.35703,66.9389,100,2.61126,26110,0,69
112,22.4473,75.9794,100,0,0,0,0
88,-46.0421,22.1528,100,2.3705,23703,0,65
133,29.6266,61.2309,100,3.54705,35471,0,80
155,53.38,68.865,100,2.99707,29969,0,84
0,-55.4533,36.5944,100,3.45345,34536,0,58
68,-27.4433,-66.4251,100,2.91068,29107,0,97
113,-26.6545,-1.10426,100,2.96191,29620,0,75
44,-6.16905,-74.3602,100,2.19743,21975,0,62
69,-48.6172,54.1196,100,0,0,0,0
156,33.041,17.7397,100,2.85613,28561,0,96
24,7.48499,-51.7613,100,3.7394,37392,0,89
134,-3.58072,-27.2541,100,4.99018,49900,0,122
25,-47.3811,-18.813,100,3.12406,31241,0,77
135,-14.2322,78.5927,100,2.62576,26259,0,68
114,10.441,-64.4829,100,5.26421,52642,0,132
89,4.05994,28.2358,100,5.14271,51424,0,128
157,64.3537,-36.2162,100,5.091,50910,0,117
45,30.5439,49.0068,100,2.80881,28089,0,59
70,-74.4759,76.2569,100,2.78037,27805,0,70
90,10.2724,-79.5641,100,0,0,0,0
1,-7.01294,0.249627,100,3.33785,33379,0,84
26,18.1434,-55.7061,100,2.62667,26267,0,79
115,-72.9661,30.8723,100,2.64135,26413,0,75
