Designator,Mid X,Mid Y,Layer,Rotation
C_CH0,-21.0000mm,29.0000mm,Top,0.00
C_CH1,2.0000mm,29.0000mm,Top,0.00
C_CH2,25.0000mm,29.0000mm,Top,0.00
C_CH3,48.0000mm,29.0000mm,Top,0.00
C_CL0,-39.0000mm,29.0000mm,Top,0.00
C_CL1,-16.0000mm,29.0000mm,Top,0.00
C_CL2,7.0000mm,29.0000mm,Top,0.00
C_CL3,30.0000mm,29.0000mm,Top,0.00
C_HVIN1,61.0000mm,37.0000mm,Top,0.00
C_HVIN2,71.0000mm,37.0000mm,Top,0.00
C_THH0,-23.0000mm,24.0000mm,Top,0.00
C_THH1,0.0000mm,24.0000mm,Top,0.00
C_THH2,23.0000mm,24.0000mm,Top,0.00
C_THH3,46.0000mm,24.0000mm,Top,0.00
C_THL0,-32.5000mm,24.0000mm,Top,0.00
C_THL1,-9.5000mm,24.0000mm,Top,0.00
C_THL2,13.5000mm,24.0000mm,Top,0.00
C_THL3,36.5000mm,24.0000mm,Top,0.00
C_TIA0,-24.0000mm,43.0000mm,Top,0.00
C_TIA1,-1.0000mm,43.0000mm,Top,0.00
C_TIA2,22.0000mm,43.0000mm,Top,0.00
C_TIA3,45.0000mm,43.0000mm,Top,0.00
C_VB0,-32.5000mm,34.0000mm,Top,0.00
C_VB1,-9.5000mm,34.0000mm,Top,0.00
C_VB2,13.5000mm,34.0000mm,Top,0.00
C_VB3,36.5000mm,34.0000mm,Top,0.00
C_VBUS1,-60.0000mm,-48.0000mm,Top,0.00
C_VBUS2,-57.0000mm,-48.0000mm,Top,0.00
Cf0,-25.0000mm,38.5000mm,Top,0.00
Cf1,-2.0000mm,38.5000mm,Top,0.00
Cf2,21.0000mm,38.5000mm,Top,0.00
Cf3,44.0000mm,38.5000mm,Top,0.00
Cgh0,-24.0000mm,19.0000mm,Top,0.00
Cgh1,-1.0000mm,19.0000mm,Top,0.00
Cgh2,22.0000mm,19.0000mm,Top,0.00
Cgh3,45.0000mm,19.0000mm,Top,0.00
Cgl0,-32.0000mm,19.0000mm,Top,0.00
Cgl1,-9.0000mm,19.0000mm,Top,0.00
Cgl2,14.0000mm,19.0000mm,Top,0.00
Cgl3,37.0000mm,19.0000mm,Top,0.00
D_CLH0,-36.0000mm,48.0000mm,Top,0.00
D_CLH1,-13.0000mm,48.0000mm,Top,0.00
D_CLH2,10.0000mm,48.0000mm,Top,0.00
D_CLH3,33.0000mm,48.0000mm,Top,0.00
D_CLL0,-24.0000mm,48.0000mm,Top,0.00
D_CLL1,-1.0000mm,48.0000mm,Top,0.00
D_CLL2,22.0000mm,48.0000mm,Top,0.00
D_CLL3,45.0000mm,48.0000mm,Top,0.00
J_FPGA0,-30.0000mm,14.0000mm,Top,0.00
J_FPGA1,-7.0000mm,14.0000mm,Top,0.00
J_FPGA2,16.0000mm,14.0000mm,Top,0.00
J_FPGA3,39.0000mm,14.0000mm,Top,0.00
J_PANEL0,-30.0000mm,54.0000mm,Top,0.00
J_PANEL1,-7.0000mm,54.0000mm,Top,0.00
J_PANEL2,16.0000mm,54.0000mm,Top,0.00
J_PANEL3,39.0000mm,54.0000mm,Top,0.00
R_CC1,-63.0000mm,-44.0000mm,Top,0.00
R_CC2,-63.0000mm,-46.0000mm,Top,0.00
R_HVEN,66.0000mm,40.0000mm,Top,0.00
R_HVMON1,63.0000mm,26.0000mm,Top,0.00
R_HVMON2,69.0000mm,26.0000mm,Top,0.00
R_THH0,-27.5000mm,24.0000mm,Top,0.00
R_THH1,-4.5000mm,24.0000mm,Top,0.00
R_THH2,18.5000mm,24.0000mm,Top,0.00
R_THH3,41.5000mm,24.0000mm,Top,0.00
R_THL0,-37.0000mm,24.0000mm,Top,0.00
R_THL1,-14.0000mm,24.0000mm,Top,0.00
R_THL2,9.0000mm,24.0000mm,Top,0.00
R_THL3,32.0000mm,24.0000mm,Top,0.00
R_VB0,-37.0000mm,34.0000mm,Top,0.00
R_VB1,-14.0000mm,34.0000mm,Top,0.00
R_VB2,9.0000mm,34.0000mm,Top,0.00
R_VB3,32.0000mm,34.0000mm,Top,0.00
Rf0,-35.0000mm,38.5000mm,Top,0.00
Rf1,-12.0000mm,38.5000mm,Top,0.00
