ref,tsc_x_mm,tsc_y_mm,kicad_x_mm,kicad_y_mm,rotation_deg,layer
J_PANEL0,-2,52,98,28,0,top
J_PANEL1,12,52,112,28,0,top
J_PANEL2,26,52,126,28,0,top
J_PANEL3,40,52,140,28,0,top
J_UFL_GNSS,-72,40,28,40,0,top
J_UFL_LTE,-72,50,28,30,0,top
J_USBC,-65,-52,35,132,0,top
U_BUCK33,-35,-40,65,120,0,top
U_CMPH0,1,12,101,68,0,top
U_CMPH1,15,12,115,68,0,top
U_CMPH2,29,12,129,68,0,top
U_CMPH3,43,12,143,68,0,top
U_CMPL0,-5,12,95,68,0,top
U_CMPL1,9,12,109,68,0,top
U_CMPL2,23,12,123,68,0,top
U_CMPL3,37,12,137,68,0,top
U_ICE40,-38,30,62,50,0,top
U_LT3482,58,32,158,48,0,top
U_NRF9151,-65,38,35,42,0,top
U_PD,-55,-40,45,120,0,top
U_RP2040,-28,5,72,75,0,top
U_TEC0,20,-40,120,120,0,top
U_TEC1,34,-40,134,120,0,top
U_TEC2,48,-40,148,120,0,top
U_TEC3,62,-40,162,120,0,top
U_TIA0,-2,28,98,52,0,top
U_TIA1,12,28,112,52,0,top
U_TIA2,26,28,126,52,0,top
U_TIA3,40,28,140,52,0,top
