event,x_mm,y_mm,z_mm,edep_MeV,photons_prod,photons_shifted,photons_detected
0,27.4832,111.956,50,1.74679,17467,0,64
1,97.7187,152.216,50,2.06004,20600,0,60
2,34.3238,143.931,50,1.55539,15553,0,49
3,49.7065,33.8618,50,4.54413,45442,0,142
4,78.7518,42.256,50,1.59803,15980,0,61
5,64.0071,68.0359,50,2.34791,23480,0,73
6,22.2063,122.409,50,1.4563,14563,0,56
7,23.5253,114.449,50,1.66395,16639,0,41
8,80.6606,126.998,50,1.81424,18142,0,42
9,29.415,35.9183,50,1.85059,18505,0,46
10,31.7393,117.335,50,2.09573,20957,0,51
11,38.7789,126.116,50,2.32489,23248,0,58
12,27.1038,32.979,50,2.14708,21471,0,52
13,56.0729,69.9167,50,1.69757,16976,0,57
14,21.6003,67.0702,50,1.72183,17218,0,44
15,46.3214,116.301,50,2.53804,25381,0,68
16,38.7218,26.066,50,1.91622,19162,0,52
17,31.3168,156.962,50,2.36601,23660,0,57
18,24.5746,39.9674,50,2.33706,23370,0,73
19,79.0665,122.922,50,1.99695,19970,0,62
20,101.056,158.868,50,1.69883,16988,0,44
21,55.9613,149.832,50,4.6106,46106,0,129
22,70.572,96.0564,50,2.26274,22628,0,46
23,59.5152,91.1071,50,1.88481,18848,0,66
24,100.021,153.877,50,2.62914,26292,0,39
25,63.6921,146.557,50,1.89174,18917,0,50
26,71.2254,161.866,50,1.95906,19590,0,53
27,83.5388,51.2011,50,2.40052,24003,0,64
28,88.7987,41.5759,50,1.52366,15237,0,45
29,55.9989,81.2533,50,1.65815,16581,0,73
30,47.2675,89.077,50,1.8347,18347,0,59
31,62.3019,44.5605,50,1.60248,16025,0,61
32,85.3998,164.844,50,2.30229,23023,0,49
33,55.665,100.478,50,3.96711,39671,0,88
34,28.5977,72.4394,50,2.40549,24055,0,73
35,85.8929,91.2973,50,1.70622,17062,0,54
36,78.2656,45.4172,50,2.11709,21169,0,49
37,68.1097,157.607,50,1.62474,16248,0,45
38,41.6801,130.647,50,1.53331,15333,0,40
39,71.401,62.268,50,1.72115,17211,0,55
40,18.6139,60.6728,50,1.51271,15127,0,61
41,87.4266,103.934,50,1.63844,16385,0,39
42,78.8269,109.85,50,3.23432,32342,0,96
43,58.9053,81.7596,50,1.58224,15823,0,54
44,63.8054,156.441,50,1.70009,17001,0,55
45,52.0412,121.032,50,1.85159,18516,0,48
46,37.1929,30.0907,50,1.70357,17037,0,58
47,93.9429,87.1324,50,1.69914,16992,0,25
48,58.1802,78.9296,50,1.53694,15370,0,41
49,60.2327,37.6172,50,2.6433,26435,0,68
50,47.8834,146.586,50,1.84948,18495,0,44
51,72.515,125.008,50,1.75126,17512,0,45
52,94.6941,86.2793,50,2.90231,29023,0,75
53,44.9691,64.719,50,1.68191,16820,0,46
54,34.3598,66.9845,50,0,0,0,0
55,39.8459,62.3468,50,2.44315,24432,0,76
56,48.5731,75.5052,50,1.84794,18480,0,51
57,25.0985,25.0585,50,1.62344,16235,0,57
58,22.6941,40.5364,50,2.01391,20139,0,37
59,57.8647,77.2261,50,2.36325,23634,0,60
60,80.629,102.523,50,2.01943,20195,0,59
61,21.2146,46.2599,50,2.39836,23983,0,50
62,62.6615,67.9403,50,1.6519,16519,0,47
63,52.957,51.5827,50,2.47409,24741,0,63
64,97.1616,88.5793,50,1.75182,17518,0,42
65,86.1677,66.7118,50,1.76685,17668,0,45
66,30.7861,68.2174,50,2.5436,25436,0,79
67,67.1972,45.9606,50,1.98442,19844,0,48
68,19.9476,60.7651,50,1.50619,15062,0,50
69,96.9326,24.8984,50,2.77689,27768,0,65
70,29.1148,161.1,50,1.69659,16966,0,47
71,40.9237,105.367,50,1.81871,18186,0,34
72,31.2133,42.8942,50,3.10853,31085,0,71
73,52.9339,132.99,50,2.22598,22260,0,65
74,76.3842,61.346,50,4.63885,46388,0,106
75,91.0842,124.746,50,1.80819,18082,0,59
76,17.0184,127.909,50,2.19912,21989,0,55
77,40.6911,28.0455,50,1.57593,15759,0,52
78,93.2741,147.789,50,2.1095,21093,0,33
79,100.667,163.642,50,1.87416,18741,0,61
80,40.3482,115.264,50,1.78711,17870,0,43
81,21.4574,159.55,50,0,0,0,0
82,55.4404,86.762,50,2.11026,21103,0,49
83,68.1754,64.3782,50,2.2055,22055,0,65
84,83.8864,41.7066,50,1.81737,18173,0,58
85,63.963,66.3006,50,1.63898,16389,0,53
86,73.6786,49.4951,50,1.75094,17509,0,39
87,58.086,160.185,50,1.80566,18057,0,47
88,22.0732,31.7762,50,0,0,0,0
89,62.5174,158.441,50,2.07923,20791,0,63
90,60.8058,91.4726,50,1.86788,18679,0,49
91,91.4007,156.028,50,2.71111,27111,0,56
92,20.6698,152.196,50,1.74642,17466,0,50
93,99.7826,41.4465,50,1.792,17920,0,51
94,58.809,166.937,50,0,0,0,0
95,43.4038,57.429,50,2.30356,23035,0,48
96,25.2051,69.5744,50,2.25611,22561,0,75
97,74.6712,156.554,50,2.30782,23078,0,63
98,98.6902,56.0961,50,1.84148,18416,0,55
99,36.6632,80.1509,50,1.39512,13952,0,35
100,90.405,46.2403,50,0.927786,9278,0,20
101,61.0957,103.143,50,3.46709,34671,0,83
102,32.0804,136.433,50,0.305619,3056,63,16
103,84.5534,141.961,50,2.22616,22261,0,50
104,53.6916,70.9854,50,2.44367,24438,0,50
105,80.557,94.0751,50,2.10418,21042,0,43
106,49.9514,55.9795,50,1.6401,16401,0,48
107,36.0385,135.486,50,1.83807,18381,0,41
108,66.6936,92.0655,50,1.81604,18160,0,53
109,23.0473,124.088,50,1.88173,18815,0,48
110,47.4186,94.7971,50,2.86134,28613,0,46
111,96.0835,87.8758,50,1.71397,17140,0,57
