freq_GHz,S11_dB,S21_dB
1.000000000000000056e-01,-1.662257997707568080e+01,-1.781138830084189606e-01
1.122500000000000026e-01,-1.630870197685817757e+01,-1.899686556775095347e-01
1.244999999999999996e-01,-1.603001534983498644e+01,-2.013227876437735098e-01
1.367500000000000104e-01,-1.578925250042450656e+01,-2.122486208710059885e-01
1.489999999999999936e-01,-1.558877518995105582e+01,-2.228025906561878211e-01
1.612500000000000044e-01,-1.543055771802121079e+01,-2.330297300526126270e-01
1.734999999999999876e-01,-1.531617206395498521e+01,-2.429666559965852901e-01
1.857499999999999984e-01,-1.524677573558331112e+01,-2.526436193950994946e-01
1.980000000000000093e-01,-1.522310279220456586e+01,-2.620859546128699313e-01
2.102499999999999925e-01,-1.524545834014355350e+01,-2.713151303622075017e-01
2.225000000000000033e-01,-1.531371668785195617e+01,-2.803495283014150741e-01
2.347499999999999865e-01,-1.542732326638205720e+01,-2.892050309075128167e-01
2.469999999999999973e-01,-1.558530035708031214e+01,-2.978954727957835447e-01
2.592499999999999805e-01,-1.578625661457306073e+01,-3.064329923620193186e-01
2.715000000000000191e-01,-1.602840032586901486e+01,-3.148283094022605866e-01
2.837500000000000022e-01,-1.630955630370498355e+01,-3.230909469082814955e-01
2.959999999999999853e-01,-1.662718627306765384e+01,-3.312294101747088604e-01
3.082500000000000240e-01,-1.697841257361562839e+01,-3.392513328498262259e-01
3.205000000000000071e-01,-1.736004496728199342e+01,-3.471635970943632299e-01
3.327499999999999902e-01,-1.776861030961120136e+01,-3.549724332467916743e-01
3.449999999999999734e-01,-1.820038481542463060e+01,-3.626835031117682795e-01
3.572500000000000120e-01,-1.865142862431840953e+01,-3.703019700453721308e-01
3.694999999999999951e-01,-1.911762234940074379e+01,-3.778325583085827000e-01
3.817499999999999782e-01,-1.959470527370377013e+01,-3.852796036316363804e-01
3.940000000000000169e-01,-2.007831484298129254e+01,-3.926470965295043580e-01
4.062500000000000000e-01,-2.056402709123663897e+01,-3.999387195995490196e-01
4.184999999999999831e-01,-2.104739762640220491e+01,-4.071578797927173365e-01
4.307500000000000218e-01,-2.152400279817722151e+01,-4.143077364622080871e-01
4.430000000000000049e-01,-2.198948066815873048e+01,-4.213912258458747395e-01
4.552499999999999880e-01,-2.243957140407923845e+01,-4.284110825213839346e-01
4.675000000000000266e-01,-2.287015672516935894e+01,-4.353698582794336414e-01
4.797500000000000098e-01,-2.327729803434124989e+01,-4.422699387849333696e-01
4.919999999999999929e-01,-2.365727288495326164e+01,-4.491135583350036042e-01
5.042499999999999760e-01,-2.400660944525312601e+01,-4.559028129729434942e-01
5.164999999999999591e-01,-2.432211864206157159e+01,-4.626396721766189990e-01
5.287500000000000533e-01,-2.460092368667739393e+01,-4.693259893062247112e-01
5.410000000000000364e-01,-2.484048671015878895e+01,-4.759635109686658483e-01
5.532500000000000195e-01,-2.503863226183955604e+01,-4.825538854327822702e-01
5.655000000000000027e-01,-2.519356745392415675e+01,-4.890986702104144213e-01
5.777499999999999858e-01,-2.530389856600378451e+01,-4.955993389022009254e-01
5.899999999999999689e-01,-2.536864395605907063e+01,-5.020572873934303626e-01
6.022499999999999520e-01,-2.538724315866069503e+01,-5.084738394738137490e-01
6.145000000000000462e-01,-2.535956208633044540e+01,-5.148502519453201920e-01
6.267500000000000293e-01,-2.528589428605600276e+01,-5.211877192739469145e-01
6.390000000000000124e-01,-2.516695823942923482e+01,-5.274873778342268338e-01
6.512499999999999956e-01,-2.500389073146219943e+01,-5.337503097892243309e-01
6.634999999999999787e-01,-2.479823634948936117e+01,-5.399775466435634552e-01
6.757499999999999618e-01,-2.455193320935143220e+01,-5.461700725025482317e-01
