freq_GHz,S11_dB,S21_dB,Z0_ohm
1.000000000000000056e-01,-1.183589838486224544e+01,-9.976311574844400065e-02,5.975528258147576821e+01
1.063333333333333353e-01,-1.214984142657923627e+01,-1.041450431309383223e-01,5.986306925302471882e+01
1.126666666666666650e-01,-1.251946316014562122e+01,-1.084493157512259748e-01,5.994006904845447536e+01
1.189999999999999947e-01,-1.293860354055049910e+01,-1.126815668606155341e-01,5.998579450130306867e+01
1.253333333333333244e-01,-1.340023253366307365e+01,-1.168467446575222890e-01,5.999995613515568493e+01
1.316666666666666541e-01,-1.389657362633634996e+01,-1.209492258549593330e-01,5.998246429624752096e+01
1.380000000000000115e-01,-1.441924045134058119e+01,-1.249929058816184463e-01,5.993342972103933874e+01
1.443333333333333135e-01,-1.495938412677399576e+01,-1.289812713732867155e-01,5.985316283517263969e+01
1.506666666666666432e-01,-1.550784872135657899e+01,-1.329174590542139822e-01,5.974217178824246588e+01
1.570000000000000007e-01,-1.605533211424964435e+01,-1.368043040269060207e-01,5.960115923682935346e+01
1.633333333333333026e-01,-1.659254942326799309e+01,-1.406443797248513039e-01,5.943101789615607800e+01
1.696666666666666601e-01,-1.711039613022757777e+01,-1.444400312341607984e-01,5.923282488853068628e+01
1.759999999999999898e-01,-1.760010803749252162e+01,-1.481934032904947962e-01,5.900783492435438404e+01
1.823333333333333195e-01,-1.805341524545784182e+01,-1.519064639626371283e-01,5.875747235886348108e+01
1.886666666666666492e-01,-1.846268744574987153e+01,-1.555810248135989504e-01,5.848332217489240747e+01
1.950000000000000067e-01,-1.882106797749979066e+01,-1.592187581634989801e-01,5.818711994874344384e+01
2.013333333333333086e-01,-1.912259429146646283e+01,-1.628212119512008893e-01,5.787074086268695083e+01
2.076666666666666661e-01,-1.936230270558405664e+01,-1.663898225935491748e-01,5.753618783365094203e+01
2.139999999999999958e-01,-1.953631561149263973e+01,-1.699259261646819952e-01,5.718557883325466662e+01
2.203333333333333255e-01,-1.964190959992732388e+01,-1.734307681579794480e-01,5.682113347945949045e+01
2.266666666666666552e-01,-1.967756330807638321e+01,-1.769055120458197239e-01,5.644515898472236159e+01
2.330000000000000127e-01,-1.964298414828201800e+01,-1.803512468145630765e-01,5.606003554961027646e+01
2.393333333333333146e-01,-1.953911344848937404e+01,-1.837689936218996345e-01,5.566820129434536568e+01
2.456666666666666443e-01,-1.936810991413163663e+01,-1.871597116992461118e-01,5.527213682367504788e+01
2.520000000000000018e-01,-1.913331170200806142e+01,-1.905243036020110858e-01,5.487434952278331224e+01
2.583333333333333037e-01,-1.883917777247591374e+01,-1.938636198943198274e-01,5.447735768366173659e+01
2.646666666666666612e-01,-1.849120955033489366e+01,-1.971784633414549182e-01,5.408367456243220062e+01
2.710000000000000187e-01,-1.809585427073772479e+01,-2.004695926722571964e-01,5.369579246855051480e+01
2.773333333333333206e-01,-1.766039170823477988e+01,-2.037377259645948291e-01,5.331616698661805742e+01
2.836666666666666226e-01,-1.719280627900102232e+01,-2.069835436993881228e-01,5.294720143068936125e+01
2.899999999999999800e-01,-1.670164676327103592e+01,-2.102076915222980402e-01,5.259123162949142483e+01
2.963333333333333375e-01,-1.619587611250727477e+01,-2.134107827468197383e-01,5.225051113887580101e+01
3.026666666666666394e-01,-1.568471398002734851e+01,-2.165934006279928992e-01,5.192719697511967780e+01
3.089999999999999969e-01,-1.517747474165710209e+01,-2.197561004320982558e-01,5.162333595939487907e+01
3.153333333333332988e-01,-1.468340385221159217e+01,-2.228994113244430475e-01,5.134085175985454441e+01
3.216666666666666008e-01,-1.421151541284369735e+01,-2.260238380945496228e-01,5.108153271337080525e+01
3.280000000000000138e-01,-1.377043380302662534e+01,-2.291298627356694040e-01,5.084702050402093931e+01
3.343333333333333157e-01,-1.336824215952528050e+01,-2.322179458934932050e-01,5.063879976999578503e+01
3.406666666666666177e-01,-1.301234036441710273e+01,-2.352885281971577591e-01,5.045818870472634643e+01
3.469999999999999751e-01,-1.270931503715960531e+01,-2.383420314841166732e-01,5.030633071173063087e+01
3.533333333333333326e-01,-1.246482381480333146e+01,-2.413788599291185888e-01,5.018418716601171070e+01
3.596666666666666345e-01,-1.228349595342201717e+01,-2.443994010863805577e-01,5.009253132783283746e+01
3.659999999999999920e-01,-1.216885099708524365e+01,-2.474040268530388331e-01,5.003194344739996069e+01
3.723333333333332940e-01,-1.212323694327207768e+01,-2.503930943610799265e-01,5.000280709144267632e+01
3.786666666666666514e-01,-1.214778899109231780e+01,-2.533669468041852557e-01,5.000530671494914259e+01
3.850000000000000089e-01,-1.224240959706477838e+01,-2.563259142052461970e-01,5.003942649342761229e+01
3.913333333333333108e-01,-1.240577018885081273e+01,-2.592703141297098557e-01,5.010495042308735236e+01
3.976666666666666128e-01,-1.263533450683480908e+01,-2.622004523493930983e-01,5.020146368830466344e+01
4.040000000000000258e-01,-1.292740316346518625e+01,-2.651166234609360628e-01,5.032835528771693845e+01
4.103333333333333277e-01,-1.327717863749646554e+01,-2.680191114626554461e-01,5.048482190231956679e+01
4.166666666666666297e-01,-1.367884956125383766e+01,-2.709081902931950725e-01,5.066987298107780191e+01
4.229999999999999871e-01,-1.412569282008400862e+01,-2.737841243350435105e-01,5.088233701185786373e+01
4.293333333333332891e-01,-1.461019167021529164e+01,-2.766471688857014555e-01,5.112086893797740572e+01
4.356666666666666465e-01,-1.512416779982380710e+01,-2.794975705990235260e-01,5.138395867342328671e+01
4.420000000000000040e-01,-1.565892501313558860e+01,-2.823355678990273065e-01,5.166994066282874343e+01
4.483333333333333059e-01,-1.620540201318999607e+01,-2.851613913682566892e-01,5.197700442568812207e+01
4.546666666666666079e-01,-1.675433159903659330e+01,-2.879752641126008816e-01,5.230320601805657788e+01
4.610000000000000209e-01,-1.729640348044262055e+01,-2.907774021043042501e-01,5.264648033917333692e+01
4.673333333333333228e-01,-1.782242784963254323e+01,-2.935680145047510625e-01,5.300465420509852521e+01
4.736666666666666248e-01,-1.832349683628109815e+01,-2.963473039684770827e-01,5.337546010659761464e+01
4.799999999999999822e-01,-1.879114100916989116e+01,-2.991154669297333979e-01,5.375655056417572553e+01
4.863333333333333397e-01,-1.921747817494268062e+01,-3.018726938728222842e-01,5.414551298938361867e+01
4.926666666666666416e-01,-1.959535185972589488e+01,-3.046191695873224914e-01,5.453988495831226402e+01
4.989999999999999991e-01,-1.991845704064202494e+01,-3.073550734092317938e-01,5.493716980058324140e+01
5.053333333333333011e-01,-2.018145091824895587e+01,-3.100805794489721601e-01,5.533485240514492176e+01
5.116666666666666030e-01,-2.038004678375327572e+01,-3.127958568071287915e-01,5.573041514281205622e+01
5.180000000000000160e-01,-2.051108933185195227e+01,-3.155010697787270502e-01,5.612135380474690294e+01
5.243333333333333179e-01,-2.057261009603721646e+01,-3.181963780467870762e-01,5.650519345597960097e+01
5.306666666666666199e-01,-2.056386203242614741e+01,-3.208819368658436533e-01,5.687950410360292608e+01
5.370000000000000329e-01,-2.048533264451452496e+01,-3.235578972360630412e-01,5.724191608045016011e+01
5.433333333333332238e-01,-2.033873541826715226e+01,-3.262244060685443037e-01,5.759013504686564744e+01
5.496666666666666368e-01,-2.012697971802088048e+01,-3.288816063423495306e-01,5.792195651559585912e+01
5.560000000000000497e-01,-1.985411967209678608e+01,-3.315296372537656633e-01,5.823527980784722047e+01
5.623333333333332407e-01,-1.952528294614609194e+01,-3.341686343582677687e-01,5.852812135215859257e+01
5.686666666666666536e-01,-1.914658065560507083e+01,-3.367987297056183604e-01,5.879862724189651857e+01
5.749999999999999556e-01,-1.872500000000000142e+01,-3.394200519685057205e-01,5.904508497187473637e+01
5.813333333333332575e-01,-1.826828150540109874e+01,-3.420327265651007531e-01,5.926593427979659623e+01
5.876666666666666705e-01,-1.778478303174316721e+01,-3.446368757758800361e-01,5.945977702388574926e+01
5.939999999999999725e-01,-1.728333293425722417e+01,-3.472326188550439174e-01,5.962538603417228700e+01
6.003333333333332744e-01,-1.677307495880816290e+01,-3.498200721368343036e-01,5.976171288139916271e+01
6.066666666666665764e-01,-1.626330759615974131e+01,-3.523993491370361886e-01,5.986789451436580123e+01
6.129999999999999893e-01,-1.576332071753893516e+01,-3.549705606499299337e-01,5.994325872368956709e+01
6.193333333333332913e-01,-1.528223236163619880e+01,-3.575338148409422101e-01,5.998732839739538747e+01
6.256666666666665932e-01,-1.482882854051771915e+01,-3.600892173352294168e-01,5.999982454139239962e+01
6.320000000000000062e-01,-1.441140887888676403e+01,-3.626368713024103463e-01,5.998066804571585919e+01
6.383333333333333082e-01,-1.403764079864540193e+01,-3.651768775376527665e-01,5.992998018535252669e+01
6.446666666666666101e-01,-1.371442481057634843e+01,-3.677093345393061541e-01,5.984808185247903367e+01
6.510000000000000231e-01,-1.344777327982454374e+01,-3.702343385832590483e-01,5.973549152497372461e+01
6.573333333333332140e-01,-1.324270479513795706e+01,-3.727519837941895564e-01,5.959292198406277663e+01
