freq_GHz,S11_dB
1.399999999999999911e+00,-7.899646615074829903e+00
1.402600000000000069e+00,-7.884435080139087226e+00
1.405200000000000005e+00,-7.867198436756827284e+00
1.407799999999999940e+00,-7.847712755840874799e+00
1.410400000000000098e+00,-7.825736250923362114e+00
1.413000000000000034e+00,-7.801008843661067615e+00
1.415599999999999969e+00,-7.773251872337183066e+00
1.418199999999999905e+00,-7.742167967865781542e+00
1.420800000000000063e+00,-7.707441122658370780e+00
1.423399999999999999e+00,-7.668736978228321455e+00
1.425999999999999934e+00,-7.625703357531118165e+00
1.428600000000000092e+00,-7.577971067709068365e+00
1.431200000000000028e+00,-7.525154998074000012e+00
1.433799999999999963e+00,-7.466855536769758217e+00
1.436399999999999899e+00,-7.402660327563316045e+00
1.439000000000000057e+00,-7.332146385581828518e+00
1.441599999999999993e+00,-7.254882587515438352e+00
1.444199999999999928e+00,-7.170432547825845937e+00
1.446800000000000086e+00,-7.078357887835759144e+00
1.449400000000000022e+00,-6.978221899236285886e+00
1.451999999999999957e+00,-6.869593597566518106e+00
1.454599999999999893e+00,-6.752052154638167991e+00
1.457200000000000051e+00,-6.625191691762423396e+00
1.459799999999999986e+00,-6.488626408070109264e+00
1.462399999999999922e+00,-6.341996010302120013e+00
1.465000000000000080e+00,-6.184971402306253196e+00
1.467600000000000016e+00,-6.017260584247932087e+00
1.470199999999999951e+00,-5.838614703380548221e+00
1.472800000000000109e+00,-5.648834190295232816e+00
1.475400000000000045e+00,-5.447774907059521610e+00
1.477999999999999980e+00,-5.235354226747456430e+00
1.480599999999999916e+00,-5.011556957751969854e+00
1.483200000000000074e+00,-4.776441021145488186e+00
1.485800000000000010e+00,-4.530142785403351802e+00
1.488399999999999945e+00,-4.272881960203677387e+00
1.491000000000000103e+00,-4.004965949929014002e+00
1.493600000000000039e+00,-3.726793568061228079e+00
1.496199999999999974e+00,-3.438858015998971229e+00
1.498799999999999910e+00,-3.141749034023804565e+00
1.501400000000000068e+00,-2.836154138250062129e+00
1.504000000000000004e+00,-2.522858865429970621e+00
1.506599999999999939e+00,-2.202745957424292467e+00
1.509200000000000097e+00,-1.876793428920876083e+00
1.511800000000000033e+00,-1.546071475476665791e+00
1.514399999999999968e+00,-1.211738194015428149e+00
1.516999999999999904e+00,-8.750341043334789459e-01
1.519600000000000062e+00,-5.372754777071039323e-01
1.522199999999999998e+00,-1.998464970790634898e-01
1.524799999999999933e+00,1.358097077854069079e-01
1.527400000000000091e+00,4.682010876801994681e-01
1.530000000000000027e+00,7.957976824537810190e-01
1.532599999999999962e+00,1.117043510809718532e+00
1.535199999999999898e+00,1.430369224143670515e+00
1.537800000000000056e+00,1.734205390989129070e+00
1.540399999999999991e+00,2.026996264148828608e+00
1.542999999999999927e+00,2.307213870098059338e+00
1.545600000000000085e+00,2.573372250070908862e+00
1.548200000000000021e+00,2.824041674651934564e+00
1.550799999999999956e+00,3.057862648919135395e+00
1.553399999999999892e+00,3.273559523390702886e+00
1.556000000000000050e+00,3.469953527330587928e+00
1.558599999999999985e+00,3.645975045416113502e+00
1.561199999999999921e+00,3.800674966348467354e+00
1.563800000000000079e+00,3.933234942611091078e+00
1.566400000000000015e+00,4.042976414102612104e+00
1.568999999999999950e+00,4.129368264577073511e+00
1.571600000000000108e+00,4.192032998442199343e+00
1.574200000000000044e+00,4.230751346168903027e+00
1.576799999999999979e+00,4.245465228978044792e+00
1.579399999999999915e+00,4.236279037180195495e+00
1.582000000000000073e+00,4.203459201107491161e+00
1.584600000000000009e+00,4.147432058531420829e+00
1.587199999999999944e+00,4.068780047334612071e+00
1.589800000000000102e+00,3.968236276529276019e+00
1.592400000000000038e+00,3.846677552033304526e+00
1.594999999999999973e+00,3.705115955493733626e+00
1.597599999999999909e+00,3.544689094486902281e+00
1.600200000000000067e+00,3.366649160266999896e+00
1.602800000000000002e+00,3.172350944572571052e+00
1.605399999999999938e+00,2.963238979582464072e+00
1.608000000000000096e+00,2.740833974749160795e+00
1.610600000000000032e+00,2.506718730803372264e+00
1.613199999999999967e+00,2.262523714661022201e+00
1.615799999999999903e+00,2.009912479280087094e+00
1.618400000000000061e+00,1.750567109783274677e+00
1.620999999999999996e+00,1.486173871517314948e+00
1.623599999999999932e+00,1.218409227352028612e+00
1.626200000000000090e+00,9.489263806740405593e-01
1.628800000000000026e+00,6.793424874867080021e-01
1.631399999999999961e+00,4.112266661108288091e-01
1.633999999999999897e+00,1.460889165384404720e-01
1.636600000000000055e+00,-1.146299561087922303e-01
1.639199999999999990e+00,-3.695673379486121846e-01
1.641799999999999926e+00,-6.174466652567958125e-01
1.644400000000000084e+00,-8.570841074865915843e-01
1.647000000000000020e+00,-1.087394054456771508e+00
1.649599999999999955e+00,-1.307393405652192975e+00
1.652199999999999891e+00,-1.516204676518455141e+00
1.654800000000000049e+00,-1.713057952368350456e+00
1.657399999999999984e+00,-1.897291734828562282e+00
1.659999999999999920e+00,-2.068352738458645312e+00
1.662600000000000078e+00,-2.225794706132645739e+00
1.665200000000000014e+00,-2.369276320893398236e+00
1.667799999999999949e+00,-2.498558299220185130e+00
1.670400000000000107e+00,-2.613499755984964423e+00
1.673000000000000043e+00,-2.714053934841998306e+00
1.675599999999999978e+00,-2.800263399468985170e+00
1.678199999999999914e+00,-2.872254781054867756e+00
1.680800000000000072e+00,-2.930233175838308224e+00
1.683400000000000007e+00,-2.974476283492572204e+00
1.685999999999999943e+00,-3.005328372895405664e+00
1.688600000000000101e+00,-3.023194156497977847e+00
1.691200000000000037e+00,-3.028532648303664754e+00
1.693799999999999972e+00,-3.021851073576846236e+00
1.696399999999999908e+00,-3.003698891013573125e+00
1.699000000000000066e+00,-2.974661980403825901e+00
1.701600000000000001e+00,-2.935357040972952802e+00
1.704199999999999937e+00,-2.886426237769835090e+00
1.706800000000000095e+00,-2.828532125817273091e+00
1.709400000000000031e+00,-2.762352874386002632e+00
1.711999999999999966e+00,-2.688577806808234882e+00
1.714599999999999902e+00,-2.607903264802041043e+00
1.717200000000000060e+00,-2.521028800406550197e+00
1.719799999999999995e+00,-2.428653693383558299e+00
1.722399999999999931e+00,-2.331473787358653738e+00
1.725000000000000089e+00,-2.230178634072263577e+00
1.727600000000000025e+00,-2.125448931889705406e+00
1.730199999999999960e+00,-2.017954242166938528e+00
1.732799999999999896e+00,-1.908350965159807622e+00
1.735400000000000054e+00,-1.797280555863453699e+00
1.737999999999999989e+00,-1.685367959430285723e+00
1.740599999999999925e+00,-1.573220245588153432e+00
1.743200000000000083e+00,-1.461425421708375083e+00
1.745800000000000018e+00,-1.350551404796686228e+00
1.748399999999999954e+00,-1.241145133637538756e+00
1.750999999999999890e+00,-1.133731803552546324e+00
1.753600000000000048e+00,-1.028814207677226200e+00
1.756199999999999983e+00,-9.268721702593172296e-01
1.758799999999999919e+00,-8.283620591827016710e-01
1.761400000000000077e+00,-7.337163666737369638e-01
1.764000000000000012e+00,-6.433433489063986599e-01
1.766599999999999948e+00,-5.576267169492199471e-01
1.769200000000000106e+00,-4.769253731560283427e-01
1.771800000000000042e+00,-4.015731886647664339e-01
1.774399999999999977e+00,-3.318788191106012420e-01
